title,price_text,price_value,availability,link,collection
,,,Inconnu,https://mysweetyskin.ma/products/musc-atahara,Mikhmariyat
,,,Inconnu,https://mysweetyskin.ma/products/soft-musc,Mikhmariyat
Musc al roman,105.00 Dhs,105.0,Vente,https://mysweetyskin.ma/products/musc-al-roman,Mikhmariyat
Bacarat rouge musc,105.00 Dhs,105.0,Vente,https://mysweetyskin.ma/products/bacarat-rouge-musc,Mikhmariyat
Musc tahara,105.00 Dhs,105.0,Vente,https://mysweetyskin.ma/products/musc-atahara,Mikhmariyat
Soft musc,105.00 Dhs,105.0,Vente,https://mysweetyskin.ma/products/soft-musc,Mikhmariyat
,,,Inconnu,https://mysweetyskin.ma/products/musc-al-roman,Mikhmariyat
,,,Inconnu,https://mysweetyskin.ma/products/bacarat-rouge-musc,Mikhmariyat
,,,Inconnu,https://mysweetyskin.ma/products/musc-atahara,Mikhmariyat
,,,Inconnu,https://mysweetyskin.ma/products/soft-musc,Mikhmariyat
Her Burberry,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/her-burberry-2,Mikhmariyat
Hypnotic Poison,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/hypnotic-poison-1,Mikhmariyat
Idole,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/idole-1,Mikhmariyat
L'impératrice,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/limperatrice-1,Mikhmariyat
L'interdit,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/linterdit-1,Mikhmariyat
La Belle Paradise Garden,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/la-belle-paradise-garden,Mikhmariyat
Lady Million,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/lady-million,Mikhmariyat
